module,live_composer_version,local_composer_version,versions_match
magento/module-media-content-synchronization-cms,100.4.1,100.4.1,True
magento/module-media-gallery,100.4.2-p1,100.4.2-p1,True
magento/module-media-gallery-api,101.0.2,101.0.2,True
magento/module-media-gallery-catalog,100.4.1,100.4.1,True
magento/module-media-gallery-catalog-integration,100.4.1-p1,100.4.1-p1,True
magento/module-media-gallery-catalog-ui,100.4.1-p1,100.4.1-p1,True
magento/module-media-gallery-cms-ui,100.4.1-p1,100.4.1-p1,True
magento/module-media-gallery-integration,100.4.2,100.4.2,True
magento/module-media-gallery-metadata,100.4.1,100.4.1,True
magento/module-media-gallery-metadata-api,100.4.0,100.4.0,True
magento/module-media-gallery-renditions,100.4.1-p1,100.4.1-p1,True
magento/module-media-gallery-renditions-api,100.4.0,100.4.0,True
magento/module-media-gallery-synchronization,100.4.2,100.4.2,True
magento/module-media-gallery-synchronization-api,100.4.1,100.4.1,True
magento/module-media-gallery-synchronization-metadata,100.4.0,100.4.0,True
magento/module-media-gallery-ui,100.4.2-p1,100.4.2-p1,True
magento/module-media-gallery-ui-api,100.4.1,100.4.1,True
magento/module-media-storage,100.4.2-p1,100.4.2-p1,True
magento/module-message-queue,100.4.3,100.4.3,True
magento/module-msrp,100.4.2,100.4.2,True
magento/module-msrp-configurable-product,100.4.1,100.4.1,True
magento/module-msrp-grouped-product,100.4.1,100.4.1,True
magento/module-multishipping,100.4.3,100.4.3,True
magento/module-mysql-mq,100.4.1,100.4.1,True
magento/module-new-relic-reporting,100.4.1,100.4.1,True
magento/module-newsletter,100.4.3-p2,100.4.3-p2,True
magento/module-newsletter-graph-ql,100.4.0,100.4.0,True
magento/module-offline-payments,100.4.2,100.4.2,True
magento/module-offline-shipping,100.4.2,100.4.2,True
magento/module-page-builder,2.2.1-p3,2.2.1-p3,True
magento/module-page-builder-admin-analytics,1.1.1-p3,1.1.1-p3,True
magento/module-page-builder-analytics,1.6.1-p3,1.6.1-p3,True
magento/module-page-cache,100.4.3,100.4.3,True
magento/module-payment,100.4.3,100.4.3,True
magento/module-paypal,101.0.3-p1,101.0.3-p1,True
magento/module-paypal-captcha,100.4.1,100.4.1,True
magento/module-paypal-graph-ql,100.4.1,100.4.1,True
magento/module-persistent,100.4.3,100.4.3,True
magento/module-product-alert,100.4.2,100.4.2,True
magento/module-product-video,100.4.3-p3,100.4.3-p3,True
magento/module-quote,101.2.3-p3,101.2.3-p3,True
magento/module-quote-analytics,100.4.3,100.4.3,True
magento/module-quote-bundle-options,100.4.0,100.4.0,True
magento/module-quote-configurable-options,100.4.0,100.4.0,True
magento/module-quote-downloadable-links,100.4.0,100.4.0,True
magento/module-quote-graph-ql,100.4.3,100.4.3,True
magento/module-re-captcha-admin-ui,1.1.1,1.1.1,True
magento/module-re-captcha-checkout,1.1.1,1.1.1,True
magento/module-re-captcha-contact,1.1.0,1.1.0,True
magento/module-re-captcha-customer,1.1.1,1.1.1,True
magento/module-re-captcha-frontend-ui,1.1.1,1.1.1,True
magento/module-re-captcha-migration,1.1.1,1.1.1,True
magento/module-re-captcha-newsletter,1.1.1,1.1.1,True
magento/module-re-captcha-paypal,1.1.1,1.1.1,True
magento/module-re-captcha-review,1.1.1,1.1.1,True
magento/module-re-captcha-send-friend,1.1.1,1.1.1,True
magento/module-re-captcha-store-pickup,1.0.0,1.0.0,True
magento/module-re-captcha-ui,1.1.1,1.1.1,True
magento/module-re-captcha-user,1.1.1,1.1.1,True
magento/module-re-captcha-validation,1.1.0,1.1.0,True
magento/module-re-captcha-validation-api,1.1.0,1.1.0,True
magento/module-re-captcha-version-2-checkbox,2.0.1,2.0.1,True
magento/module-re-captcha-version-2-invisible,2.0.1,2.0.1,True
magento/module-re-captcha-version-3-invisible,2.0.1,2.0.1,True
magento/module-re-captcha-webapi-api,1.0.0,1.0.0,True
magento/module-re-captcha-webapi-graph-ql,1.0.0,1.0.0,True
magento/module-re-captcha-webapi-rest,1.0.0,1.0.0,True
magento/module-re-captcha-webapi-ui,1.0.0,1.0.0,True
magento/module-related-product-graph-ql,100.4.1,100.4.1,True
magento/module-release-notification,100.4.1,100.4.1,True
magento/module-remote-storage,100.4.1-p1,100.4.1-p1,True
magento/module-reports,100.4.3,100.4.3,True
magento/module-require-js,100.4.0,100.4.0,True
magento/module-review,100.4.3,100.4.3,True
magento/module-review-analytics,100.4.1,100.4.1,True
magento/module-review-graph-ql,100.4.0,100.4.0,True
magento/module-robots,101.1.0,101.1.0,True
