2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
laminas/laminas-mvc                                               3.2.0      Laminas's event-driven MVC layer, including MVC Applications, Controllers, and Plugins
laminas/laminas-recaptcha                                         3.3.1      OOP wrapper for the ReCaptcha web service
laminas/laminas-router                                            3.4.5      Flexible routing system for HTTP and console applications
laminas/laminas-serializer                                        2.13.0     Serialize and deserialize PHP structures to a variety of representations
laminas/laminas-server                                            2.11.1     Create Reflection-based RPC servers
laminas/laminas-servicemanager                                    3.17.0     Factory-Driven Dependency Injection Container
laminas/laminas-session                                           2.13.0     Object-oriented interface to PHP sessions and storage
laminas/laminas-soap                                              2.9.0     
laminas/laminas-stdlib                                            3.13.0     SPL extensions, array utilities, error handlers, and more
laminas/laminas-text                                              2.9.0      Create FIGlets and text-based tables
laminas/laminas-uri                                               2.8.1      A component that aids in manipulating and validating » Uniform Resource Identifiers (URIs)
laminas/laminas-validator                                         2.25.0     Validation classes for a wide range of domains, and the ability to chain validators to create complex valid...
laminas/laminas-view                                              2.12.1     Flexible view layer supporting and providing multiple view layers, helpers, and more
laminas/laminas-zendframework-bridge                              1.6.1      Alias legacy ZF class names to Laminas Project equivalents.
league/flysystem                                                  2.5.0      File storage abstraction for PHP
league/flysystem-aws-s3-v3                                        2.5.0      AWS S3 filesystem adapter for Flysystem.
league/iso3166                                                    2.1.5      ISO 3166-1 PHP Library
league/mime-type-detection                                        1.11.0     Mime-type detection for Flysystem
lusitanian/oauth                                                  v0.8.11    PHP 5.3+ oAuth 1/2 Library
magefan/module-admin-user-guide                                   2.0.2      Admin panel user guides.
magefan/module-community                                          2.1.12    
magefan/module-zero-downtime-deploy                               2.0.15    
magento/adobe-ims                                                 2.1.2-p1   Adobe IMS Integration
magento/adobe-stock-integration                                   2.1.2-p3   Adobe Stock integration
magento/composer                                                  1.6.0      Magento composer library helps to instantiate Composer application and run composer commands.
magento/composer-dependency-version-audit-plugin                  0.1.4      Validating packages through a composer plugin
magento/composer-root-update-plugin                               2.0.2      Plugin to look ahead for Magento Open Source or Adobe Commerce project root changes when running composer u...
magento/data-migration-tool                                       2.4.2      Migration Tool
magento/framework                                                 103.0.3-p3 N/A
magento/framework-amqp                                            100.4.1    N/A
magento/framework-bulk                                            101.0.0    N/A
magento/framework-message-queue                                   100.4.3    N/A
magento/google-shopping-ads                                       4.0.1      Connect your Magento admin with Google Merchant Center and Google Ads. Leverage Google machine learning thr...
magento/inventory-composer-installer                              1.2.0      Composer plugin for Magento Multi Source Inventory
magento/inventory-metapackage                                     1.2.3-p2   Metapackage with Magento Inventory modules for simple installation
magento/language-de_de                                            100.4.0    German (Germany) language
magento/language-en_us                                            100.4.0    English (United States) language
magento/language-es_es                                            100.4.0    Spanish (Spain) language
magento/language-fr_fr                                            100.4.0    French (France) language
magento/language-nl_nl                                            100.4.0    Dutch (Netherlands) language
magento/language-pt_br                                            100.4.0    Portuguese (Brazil) language
magento/language-zh_hans_cn                                       100.4.0    Chinese (China) language
magento/magento-coding-standard                                   6          A set of Magento specific PHP CodeSniffer rules.
magento/magento-composer-installer                                0.4.0      Composer installer for Magento modules
magento/magento2-base                                             2.4.3-p3   Magento 2 Base (Community Edition)
magento/magento2-functional-testing-framework                     3.5.1      Magento2 Functional Testing Framework
