module,composer_version
magento/module-re-captcha-newsletter,1.1.1
magento/module-re-captcha-paypal,1.1.1
magento/module-re-captcha-review,1.1.1
magento/module-re-captcha-send-friend,1.1.1
magento/module-re-captcha-store-pickup,1.0.0
magento/module-re-captcha-ui,1.1.1
magento/module-re-captcha-user,1.1.1
magento/module-re-captcha-validation,1.1.0
magento/module-re-captcha-validation-api,1.1.0
magento/module-re-captcha-version-2-checkbox,2.0.1
magento/module-re-captcha-version-2-invisible,2.0.1
magento/module-re-captcha-version-3-invisible,2.0.1
magento/module-re-captcha-webapi-api,1.0.0
magento/module-re-captcha-webapi-graph-ql,1.0.0
magento/module-re-captcha-webapi-rest,1.0.0
magento/module-re-captcha-webapi-ui,1.0.0
magento/module-related-product-graph-ql,100.4.1
magento/module-release-notification,100.4.1
magento/module-remote-storage,100.4.1-p1
magento/module-reports,100.4.3
magento/module-require-js,100.4.0
magento/module-review,100.4.3
magento/module-review-analytics,100.4.1
magento/module-review-graph-ql,100.4.0
magento/module-robots,101.1.0
magento/module-rss,100.4.2
magento/module-rule,100.4.2
magento/module-sales,103.0.3-p3
magento/module-sales-analytics,100.4.1
magento/module-sales-graph-ql,100.4.3
magento/module-sales-inventory,100.4.0
magento/module-sales-rule,101.2.3
magento/module-sales-sequence,100.4.1
magento/module-sample-data,100.4.1
magento/module-search,101.1.3
magento/module-security,100.4.3-p1
magento/module-securitytxt,1.1.0
magento/module-send-friend,100.4.2
magento/module-send-friend-graph-ql,100.4.0
magento/module-shipping,100.4.3
magento/module-sitemap,100.4.2
magento/module-store,101.1.3-p3
magento/module-store-graph-ql,100.4.2
magento/module-swagger,100.4.2-p2
magento/module-swagger-webapi,100.4.0
magento/module-swagger-webapi-async,100.4.0
magento/module-swatches,100.4.3
magento/module-swatches-graph-ql,100.4.2
magento/module-swatches-layered-navigation,100.4.0
magento/module-tax,100.4.3
magento/module-tax-graph-ql,100.4.0
magento/module-tax-import-export,100.4.3
magento/module-theme,101.1.3-p2
magento/module-theme-graph-ql,100.4.1
magento/module-translation,100.4.3
magento/module-two-factor-auth,1.1.2
magento/module-ui,101.2.3-p2
magento/module-ups,100.4.3
magento/module-url-rewrite,102.0.2
magento/module-url-rewrite-graph-ql,100.4.2
magento/module-user,101.2.3-p2
magento/module-usps,100.4.2
magento/module-variable,100.4.1-p2
magento/module-vault,101.2.3-p1
magento/module-vault-graph-ql,100.4.0
magento/module-version,100.4.0
magento/module-webapi,100.4.2-p2
magento/module-webapi-async,100.4.1-p2
magento/module-webapi-security,100.4.1
magento/module-weee,100.4.3
magento/module-weee-graph-ql,100.4.1
magento/module-widget,101.2.3-p3
magento/module-wishlist,101.2.3-p3
magento/module-wishlist-analytics,100.4.2
magento/module-wishlist-graph-ql,100.4.3
magento/page-builder,1.7.0-p3
magento/product-community-edition,2.4.3-p3
magento/security-package,1.1.2
magento/theme-adminhtml-backend,100.4.3-p1
magento/theme-frontend-blank,100.4.3
magento/theme-frontend-luma,100.4.3
magento/zendframework1,1.14.5
mirasvit/module-core,1.4.14
mirasvit/module-feed,1.2.9
mirasvit/module-report,1.4.11
mirasvit/module-report-api,1.0.58
mobiledetect/mobiledetectlib,2.8.41
