2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magefan/module-admin-user-guide                                   2.0.4      Admin panel user guides.
magefan/module-community                                          2.1.29     Magefan core module, required for other Magefan ...
magefan/module-zero-downtime-deploy                               2.0.18
magento/adobe-ims                                                 2.1.2-p1   Adobe IMS Integration
magento/adobe-stock-integration                                   2.1.2-p3   Adobe Stock integration
magento/composer                                                  1.6.0      Magento composer library helps to instantiate Co...
magento/composer-dependency-version-audit-plugin                  0.1.5      Validating packages through a composer plugin
magento/composer-root-update-plugin                               2.0.4      Plugin to look ahead for Magento Open Source or ...
magento/data-migration-tool                                       2.4.2      Migration Tool
magento/framework                                                 103.0.3-p3 N/A
magento/framework-amqp                                            100.4.1    N/A
magento/framework-bulk                                            101.0.0    N/A
magento/framework-message-queue                                   100.4.3    N/A
magento/google-shopping-ads                                       4.0.1      Connect your Magento admin with Google Merchant ...
magento/inventory-composer-installer                              1.2.0      Composer plugin for Magento Multi Source Inventory
magento/inventory-metapackage                                     1.2.3-p2   Metapackage with Magento Inventory modules for s...
magento/language-de_de                                            100.4.0    German (Germany) language
magento/language-en_us                                            100.4.0    English (United States) language
magento/language-es_es                                            100.4.0    Spanish (Spain) language
magento/language-fr_fr                                            100.4.0    French (France) language
magento/language-nl_nl                                            100.4.0    Dutch (Netherlands) language
magento/language-pt_br                                            100.4.0    Portuguese (Brazil) language
magento/language-zh_hans_cn                                       100.4.0    Chinese (China) language
magento/magento-coding-standard                                   6          A set of Magento specific PHP CodeSniffer rules.
magento/magento-composer-installer                                0.4.0      Composer installer for Magento modules
magento/magento2-base                                             2.4.3-p3   Magento 2 Base (Community Edition)
magento/magento2-functional-testing-framework                     3.5.1      Magento2 Functional Testing Framework
magento/module-admin-analytics                                    100.4.3-p1 N/A
magento/module-admin-notification                                 100.4.2    N/A
magento/module-adobe-ims                                          2.1.2      Magento module responsible for authentication to...
magento/module-adobe-ims-api                                      2.1.0      Implementation of Magento module responsible for...
magento/module-adobe-stock-admin-ui                               1.3.0-p2   Magento module responsible for the admin panel U...
magento/module-adobe-stock-asset                                  1.3.0-p2   Magento module responsible for the Adobe Stock a...
magento/module-adobe-stock-asset-api                              2.0.0-p2   Magento module responsible for Adobe Stock asset...
magento/module-adobe-stock-client                                 1.3.1-p2   Magento module responsible for interaction with ...
magento/module-adobe-stock-client-api                             2.1.0-p2   Magento module responsible for interaction with ...
magento/module-adobe-stock-image                                  1.3.1-p2   Magento module responsible for the images handli...
magento/module-adobe-stock-image-admin-ui                         1.3.1-p2   Magento module responsible for the admin panel i...
magento/module-adobe-stock-image-api                              1.3.0-p2   Magento module responsible for the images handling
magento/module-advanced-pricing-import-export                     100.4.3    N/A
magento/module-advanced-search                                    100.4.1    N/A
magento/module-amqp                                               100.4.1    N/A
magento/module-amqp-store                                         100.4.1    N/A
magento/module-analytics                                          100.4.3    N/A
magento/module-asynchronous-operations                            100.4.3    N/A
magento/module-authorization                                      100.4.3    Authorization module provides access to Magento ...
magento/module-aws-s3                                             100.4.1-p1 N/A
magento/module-aws-s3-page-builder                                1.0.1-p3   Aws S3 Page Builder module
magento/module-backend                                            102.0.3    N/A
magento/module-backup                                             100.4.3    N/A
magento/module-bundle                                             101.0.3    N/A
magento/module-bundle-graph-ql                                    100.4.3    N/A
magento/module-bundle-import-export                               100.4.2    N/A
magento/module-cache-invalidate                                   100.4.1    N/A
magento/module-captcha                                            100.4.3-p1 N/A
magento/module-cardinal-commerce                                  100.4.1    Provides a possibility to enable 3-D Secure 2.0 ...
magento/module-catalog                                            104.0.3-p3 N/A
magento/module-catalog-analytics                                  100.4.1    N/A
magento/module-catalog-cms-graph-ql                               100.4.0    N/A
magento/module-catalog-customer-graph-ql                          100.4.3    N/A
magento/module-catalog-graph-ql                                   100.4.3    N/A
magento/module-catalog-import-export                              101.1.3    N/A
magento/module-catalog-inventory                                  100.4.3    N/A
magento/module-catalog-inventory-graph-ql                         100.4.0    N/A
magento/module-catalog-page-builder-analytics                     1.6.1-p3   Catalog Page Builder Analytics module
magento/module-catalog-rule                                       101.2.3    N/A
